disease,question,label
neoplasm,"for neoplasm, what are the symptoms of neoplastic disease??",neoplasm symptoms
neoplasm,"for neoplasm, how is neoplastic disease diagnosed??",neoplasm diagnosis
embolism pulmonary,what is embolism pulmonary? Tell me about embolism pulmonary? What kind of disease is embolism pulmonary? Can you elaborate on embolism pulmonary? What can you tell me about embolism pulmonary? Could you describe what embolism pulmonary is? I�d like to know more about embolism pulmonary. Can you help? What information do you have on embolism pulmonary? Could you provide information on embolism pulmonary?,embolism pulmonary definition
embolism pulmonary,"for embolism pulmonary, what are the symptoms of a pulmonary embolism??",embolism pulmonary symptoms
embolism pulmonary,"for embolism pulmonary, what causes a pulmonary embolism??",embolism pulmonary causes
embolism pulmonary,"for embolism pulmonary, how is a pulmonary embolism diagnosed??",embolism pulmonary diagnosis
embolism pulmonary,"for embolism pulmonary, what are the risk factors for a pulmonary embolism??",embolism pulmonary risks
embolism pulmonary,"for embolism pulmonary, prevention?",embolism pulmonary prevention
epilepsy,what is epilepsy? Tell me about epilepsy? What kind of disease is epilepsy? Can you elaborate on epilepsy? What can you tell me about epilepsy? Could you describe what epilepsy is? I�d like to know more about epilepsy. Can you help? What information do you have on epilepsy? Could you provide information on epilepsy?,epilepsy definition
epilepsy,"for epilepsy, what are the symptoms of a seizure??",epilepsy symptoms
epilepsy,"for epilepsy, what causes seizures??",epilepsy causes
epilepsy,"for epilepsy, how are seizures diagnosed??",epilepsy diagnosis
epilepsy,"for epilepsy, prevention?",epilepsy prevention
cardiomyopathy,what is cardiomyopathy? Tell me about cardiomyopathy? What kind of disease is cardiomyopathy? Can you elaborate on cardiomyopathy? What can you tell me about cardiomyopathy? Could you describe what cardiomyopathy is? I�d like to know more about cardiomyopathy. Can you help? What information do you have on cardiomyopathy? Could you provide information on cardiomyopathy?,cardiomyopathy definition
cardiomyopathy,"for cardiomyopathy, what are the symptoms of cardiomyopathy??",cardiomyopathy symptoms
cardiomyopathy,"for cardiomyopathy, what causes cardiomyopathy??",cardiomyopathy causes
cardiomyopathy,"for cardiomyopathy, risk factors for cardiomyopathy?",cardiomyopathy risks
cardiomyopathy,"for cardiomyopathy, how is cardiomyopathy diagnosed??",cardiomyopathy diagnosis
cardiomyopathy,"for cardiomyopathy, can cardiomyopathy be prevented??",cardiomyopathy prevention
chronic kidney failure,what is chronic kidney failure? Tell me about chronic kidney failure? What kind of disease is chronic kidney failure? Can you elaborate on chronic kidney failure? What can you tell me about chronic kidney failure? Could you describe what chronic kidney failure is? I�d like to know more about chronic kidney failure. Can you help? What information do you have on chronic kidney failure? Could you provide information on chronic kidney failure?,chronic kidney failure definition
chronic kidney failure,"for chronic kidney failure, symptoms of chronic kidney failure?",chronic kidney failure symptoms
chronic kidney failure,"for chronic kidney failure, causes of chronic kidney failure?",chronic kidney failure causes
chronic kidney failure,"for chronic kidney failure, diagnosing chronic kidney failure?",chronic kidney failure diagnosis
chronic kidney failure,"for chronic kidney failure, treatment of chronic kidney failure?",chronic kidney failure treatment
chronic kidney failure,"for chronic kidney failure, preventing chronic kidney failure?",chronic kidney failure prevention
carcinoma,what is carcinoma? Tell me about carcinoma? What kind of disease is carcinoma? Can you elaborate on carcinoma? What can you tell me about carcinoma? Could you describe what carcinoma is? I�d like to know more about carcinoma. Can you help? What information do you have on carcinoma? Could you provide information on carcinoma?,carcinoma definition
carcinoma,"for carcinoma, what are the symptoms of basal cell carcinoma??",carcinoma symptoms
carcinoma,"for carcinoma, what causes basal cell carcinoma??",carcinoma causes
carcinoma,"for carcinoma, what are the risk factors of basal cell carcinoma??",carcinoma risks
carcinoma,"for carcinoma, how is basal cell carcinoma diagnosed??",carcinoma diagnosis
carcinoma,"for carcinoma, recovering from treatment?",carcinoma treatment
carcinoma,"for carcinoma, can basal cell carcinoma cause complications??",carcinoma causes
carcinoma,"for carcinoma, is basal cell carcinoma preventable??",carcinoma prevention
hepatitis C,what is hepatitis C? Tell me about hepatitis C? What kind of disease is hepatitis C? Can you elaborate on hepatitis C? What can you tell me about hepatitis C? Could you describe what hepatitis C is? I�d like to know more about hepatitis C. Can you help? What information do you have on hepatitis C? Could you provide information on hepatitis C?,hepatitis C definition
hepatitis C,"for hepatitis C, what are the symptoms of acute hepatitis c??",hepatitis C symptoms
hepatitis C,"for hepatitis C, risk factors?",hepatitis C risks
hepatitis C,"for hepatitis C, prevention?",hepatitis C prevention
psychotic disorder,what is psychotic disorder? Tell me about psychotic disorder? What kind of disease is psychotic disorder? Can you elaborate on psychotic disorder? What can you tell me about psychotic disorder? Could you describe what psychotic disorder is? I�d like to know more about psychotic disorder. Can you help? What information do you have on psychotic disorder? Could you provide information on psychotic disorder?,psychotic disorder definition
psychotic disorder,"for psychotic disorder, recognizing the symptoms of psychosis?",psychotic disorder symptoms
psychotic disorder,"for psychotic disorder, causes of psychosis?",psychotic disorder causes
psychotic disorder,"for psychotic disorder, risk factors for developing psychosis?",psychotic disorder risks
psychotic disorder,"for psychotic disorder, how is psychosis diagnosed??",psychotic disorder diagnosis
psychotic disorder,"for psychotic disorder, treatment of psychosis?",psychotic disorder treatment
psychotic disorder,"for psychotic disorder, complications and outlook for people with psychosis?",psychotic disorder complications
bipolar disorder,what is bipolar disorder? Tell me about bipolar disorder? What kind of disease is bipolar disorder? Can you elaborate on bipolar disorder? What can you tell me about bipolar disorder? Could you describe what bipolar disorder is? I�d like to know more about bipolar disorder. Can you help? What information do you have on bipolar disorder? Could you provide information on bipolar disorder?,bipolar disorder definition
bipolar disorder,"for bipolar disorder, bipolar disorder symptoms?",bipolar disorder symptoms
bipolar disorder,"for bipolar disorder, bipolar disorder symptoms in women vs. men?",bipolar disorder symptoms
bipolar disorder,"for bipolar disorder, bipolar disorder treatment?",bipolar disorder treatment
bipolar disorder,"for bipolar disorder, causes and risk factors?",bipolar disorder causes
bipolar disorder,"for bipolar disorder, can you prevent bipolar disorder??",bipolar disorder prevention
obesity,what is obesity? Tell me about obesity? What kind of disease is obesity? Can you elaborate on obesity? What can you tell me about obesity? Could you describe what obesity is? I�d like to know more about obesity. Can you help? What information do you have on obesity? Could you provide information on obesity?,obesity definition
obesity,"for obesity, what are the symptoms of obesity??",obesity symptoms
obesity,"for obesity, what causes obesity??",obesity causes
obesity,"for obesity, who is at risk of obesity??",obesity risks
obesity,"for obesity, how is obesity diagnosed??",obesity diagnosis
obesity,"for obesity, what are the complications of obesity??",obesity complications
obesity,"for obesity, how can you prevent obesity??",obesity prevention
ischemia,what is ischemia? Tell me about ischemia? What kind of disease is ischemia? Can you elaborate on ischemia? What can you tell me about ischemia? Could you describe what ischemia is? I�d like to know more about ischemia. Can you help? What information do you have on ischemia? Could you provide information on ischemia?,ischemia definition
ischemia,"for ischemia, what are the symptoms??",ischemia symptoms
ischemia,"for ischemia, what causes ischemic stroke??",ischemia causes
ischemia,"for ischemia, what are the risk factors??",ischemia risks
ischemia,"for ischemia, how is it diagnosed??",ischemia diagnosis
ischemia,"for ischemia, what complications are associated with ischemic stroke??",ischemia complications
cirrhosis,what is cirrhosis? Tell me about cirrhosis? What kind of disease is cirrhosis? Can you elaborate on cirrhosis? What can you tell me about cirrhosis? Could you describe what cirrhosis is? I�d like to know more about cirrhosis. Can you help? What information do you have on cirrhosis? Could you provide information on cirrhosis?,cirrhosis definition
cirrhosis,"for cirrhosis, cirrhosis symptoms?",cirrhosis symptoms
cirrhosis,"for cirrhosis, common causes of cirrhosis?",cirrhosis causes
cirrhosis,"for cirrhosis, how cirrhosis is diagnosed?",cirrhosis diagnosis
cirrhosis,"for cirrhosis, complications from cirrhosis?",cirrhosis complications
cirrhosis,"for cirrhosis, treatment for cirrhosis?",cirrhosis treatment
cirrhosis,"for cirrhosis, preventing cirrhosis?",cirrhosis prevention
benign prostatic hypertrophy,"for benign prostatic hypertrophy, bph causes?",benign prostatic hypertrophy causes
benign prostatic hypertrophy,"for benign prostatic hypertrophy, bph symptoms?",benign prostatic hypertrophy symptoms
benign prostatic hypertrophy,"for benign prostatic hypertrophy, bph diagnosis?",benign prostatic hypertrophy diagnosis
benign prostatic hypertrophy,"for benign prostatic hypertrophy, bph treatment?",benign prostatic hypertrophy treatment
benign prostatic hypertrophy,"for benign prostatic hypertrophy, bph natural treatment?",benign prostatic hypertrophy treatment
benign prostatic hypertrophy,"for benign prostatic hypertrophy, complications of bph?",benign prostatic hypertrophy complications
arthritis,what is arthritis? Tell me about arthritis? What kind of disease is arthritis? Can you elaborate on arthritis? What can you tell me about arthritis? Could you describe what arthritis is? I�d like to know more about arthritis. Can you help? What information do you have on arthritis? Could you provide information on arthritis?,arthritis definition
arthritis,"for arthritis, what are the symptoms of arthritis??",arthritis symptoms
arthritis,"for arthritis, what causes arthritis??",arthritis causes
arthritis,"for arthritis, how is arthritis diagnosed??",arthritis diagnosis
arthritis,"for arthritis, complications?",arthritis complications
arthritis,"for arthritis, risk factors?",arthritis risks
osteoporosis,what is osteoporosis? Tell me about osteoporosis? What kind of disease is osteoporosis? Can you elaborate on osteoporosis? What can you tell me about osteoporosis? Could you describe what osteoporosis is? I�d like to know more about osteoporosis. Can you help? What information do you have on osteoporosis? Could you provide information on osteoporosis?,osteoporosis definition
osteoporosis,"for osteoporosis, symptoms of osteoporosis?",osteoporosis symptoms
osteoporosis,"for osteoporosis, complications of osteoporosis?",osteoporosis complications
osteoporosis,"for osteoporosis, causes and risk factors of osteoporosis?",osteoporosis causes
osteoporosis,"for osteoporosis, treatment and prevention?",osteoporosis treatment
pancreatitis,what is pancreatitis? Tell me about pancreatitis? What kind of disease is pancreatitis? Can you elaborate on pancreatitis? What can you tell me about pancreatitis? Could you describe what pancreatitis is? I�d like to know more about pancreatitis. Can you help? What information do you have on pancreatitis? Could you provide information on pancreatitis?,pancreatitis definition
pancreatitis,"for pancreatitis, what causes acute pancreatitis??",pancreatitis causes
pancreatitis,"for pancreatitis, who is at risk for acute pancreatitis??",pancreatitis risks
pancreatitis,"for pancreatitis, recognizing the symptoms of acute pancreatitis?",pancreatitis symptoms
pancreatitis,"for pancreatitis, diagnosing acute pancreatitis?",pancreatitis diagnosis
pancreatitis,"for pancreatitis, complications of acute pancreatitis?",pancreatitis complications
incontinence,what is incontinence? Tell me about incontinence? What kind of disease is incontinence? Can you elaborate on incontinence? What can you tell me about incontinence? Could you describe what incontinence is? I�d like to know more about incontinence. Can you help? What information do you have on incontinence? Could you provide information on incontinence?,incontinence definition
incontinence,"for incontinence, stress incontinence symptoms?",incontinence symptoms
incontinence,"for incontinence, treatment for stress incontinence?",incontinence treatment
hernia,what is hernia? Tell me about hernia? What kind of disease is hernia? Can you elaborate on hernia? What can you tell me about hernia? Could you describe what hernia is? I�d like to know more about hernia. Can you help? What information do you have on hernia? Could you provide information on hernia?,hernia definition
hernia,"for hernia, hernia symptoms?",hernia symptoms
hernia,"for hernia, hernia causes?",hernia causes
hernia,"for hernia, hernia treatment?",hernia treatment
hernia,"for hernia, hernia diagnosis?",hernia diagnosis
hernia,"for hernia, hernia complications?",hernia complications
hernia,"for hernia, hernia prevention?",hernia prevention
malignant neoplasm of breast or carcinoma breast,what is malignant neoplasm of breast or carcinoma breast? Tell me about malignant neoplasm of breast or carcinoma breast? What kind of disease is malignant neoplasm of breast or carcinoma breast? Can you elaborate on malignant neoplasm of breast or carcinoma breast? What can you tell me about malignant neoplasm of breast or carcinoma breast? Could you describe what malignant neoplasm of breast or carcinoma breast is? I�d like to know more about malignant neoplasm of breast or carcinoma breast. Can you help? What information do you have on malignant neoplasm of breast or carcinoma breast? Could you provide information on malignant neoplasm of breast or carcinoma breast?,malignant neoplasm of breast or carcinoma breast definition
malignant neoplasm of breast or carcinoma breast,"for malignant neoplasm of breast or carcinoma breast, signs and symptoms of breast cancer?",malignant neoplasm of breast or carcinoma breast symptoms
malignant neoplasm of breast or carcinoma breast,"for malignant neoplasm of breast or carcinoma breast, diagnosis of breast cancer?",malignant neoplasm of breast or carcinoma breast diagnosis
malignant neoplasm of breast or carcinoma breast,"for malignant neoplasm of breast or carcinoma breast, breast cancer treatment?",malignant neoplasm of breast or carcinoma breast treatment
malignant neoplasm of breast or carcinoma breast,"for malignant neoplasm of breast or carcinoma breast, risk factors for breast cancer?",malignant neoplasm of breast or carcinoma breast risks
malignant neoplasm of breast or carcinoma breast,"for malignant neoplasm of breast or carcinoma breast, breast cancer prevention?",malignant neoplasm of breast or carcinoma breast prevention
diverticulitis,what is diverticulitis? Tell me about diverticulitis? What kind of disease is diverticulitis? Can you elaborate on diverticulitis? What can you tell me about diverticulitis? Could you describe what diverticulitis is? I�d like to know more about diverticulitis. Can you help? What information do you have on diverticulitis? Could you provide information on diverticulitis?,diverticulitis definition
diverticulitis,"for diverticulitis, symptoms of diverticulitis?",diverticulitis symptoms
diverticulitis,"for diverticulitis, causes of diverticulitis?",diverticulitis causes
diverticulitis,"for diverticulitis, what are the complications of diverticulitis??",diverticulitis complications
diverticulitis,"for diverticulitis, diagnosis of diverticulitis?",diverticulitis diagnosis
diverticulitis,"for diverticulitis, treatment for diverticulitis?",diverticulitis treatment
diverticulitis,"for diverticulitis, preventing diverticulitis?",diverticulitis prevention
diverticulitis,"for diverticulitis, risk factors for diverticulitis?",diverticulitis risks
osteomyelitis,what is osteomyelitis? Tell me about osteomyelitis? What kind of disease is osteomyelitis? Can you elaborate on osteomyelitis? What can you tell me about osteomyelitis? Could you describe what osteomyelitis is? I�d like to know more about osteomyelitis. Can you help? What information do you have on osteomyelitis? Could you provide information on osteomyelitis?,osteomyelitis definition
osteomyelitis,"for osteomyelitis, what causes osteomyelitis??",osteomyelitis causes
osteomyelitis,"for osteomyelitis, what are the symptoms??",osteomyelitis symptoms
osteomyelitis,"for osteomyelitis, how is osteomyelitis diagnosed??",osteomyelitis diagnosis
osteomyelitis,"for osteomyelitis, what are the treatments for osteomyelitis??",osteomyelitis treatment
osteomyelitis,"for osteomyelitis, who is at risk for osteomyelitis??",osteomyelitis risks
osteomyelitis,"for osteomyelitis, can you prevent osteomyelitis??",osteomyelitis prevention
bacteremia,what is bacteremia? Tell me about bacteremia? What kind of disease is bacteremia? Can you elaborate on bacteremia? What can you tell me about bacteremia? Could you describe what bacteremia is? I�d like to know more about bacteremia. Can you help? What information do you have on bacteremia? Could you provide information on bacteremia?,bacteremia definition
bacteremia,"for bacteremia, causes?",bacteremia causes
bacteremia,"for bacteremia, symptoms?",bacteremia symptoms
bacteremia,"for bacteremia, diagnosis?",bacteremia diagnosis
bacteremia,"for bacteremia, treatment?",bacteremia treatment
bacteremia,"for bacteremia, risks and complications?",bacteremia risks
sickle cell anemia,what is sickle cell anemia? Tell me about sickle cell anemia? What kind of disease is sickle cell anemia? Can you elaborate on sickle cell anemia? What can you tell me about sickle cell anemia? Could you describe what sickle cell anemia is? I�d like to know more about sickle cell anemia. Can you help? What information do you have on sickle cell anemia? Could you provide information on sickle cell anemia?,sickle cell anemia definition
sickle cell anemia,"for sickle cell anemia, what are the symptoms of sickle cell anemia??",sickle cell anemia symptoms
sickle cell anemia,"for sickle cell anemia, who is at risk for sickle cell anemia??",sickle cell anemia risks
sickle cell anemia,"for sickle cell anemia, what complications can arise from sickle cell anemia??",sickle cell anemia complications
sickle cell anemia,"for sickle cell anemia, how is sickle cell anemia diagnosed??",sickle cell anemia diagnosis
upper respiratory infection,what is upper respiratory infection? Tell me about upper respiratory infection? What kind of disease is upper respiratory infection? Can you elaborate on upper respiratory infection? What can you tell me about upper respiratory infection? Could you describe what upper respiratory infection is? I�d like to know more about upper respiratory infection. Can you help? What information do you have on upper respiratory infection? Could you provide information on upper respiratory infection?,upper respiratory infection definition
upper respiratory infection,"for upper respiratory infection, what are the symptoms of acute respiratory infection??",upper respiratory infection symptoms
upper respiratory infection,"for upper respiratory infection, what causes acute respiratory infection??",upper respiratory infection causes
upper respiratory infection,"for upper respiratory infection, who is at risk for acute respiratory infection??",upper respiratory infection risks
upper respiratory infection,"for upper respiratory infection, how is acute respiratory infection diagnosed??",upper respiratory infection diagnosis
upper respiratory infection,"for upper respiratory infection, what are potential complications of acute respiratory infection??",upper respiratory infection complications
upper respiratory infection,"for upper respiratory infection, preventing acute respiratory infection?",upper respiratory infection prevention
hepatitis,what is hepatitis? Tell me about hepatitis? What kind of disease is hepatitis? Can you elaborate on hepatitis? What can you tell me about hepatitis? Could you describe what hepatitis is? I�d like to know more about hepatitis. Can you help? What information do you have on hepatitis? Could you provide information on hepatitis?,hepatitis definition
hepatitis,"for hepatitis, causes of hepatitis?",hepatitis causes
hepatitis,"for hepatitis, common symptoms of hepatitis?",hepatitis symptoms
hepatitis,"for hepatitis, how hepatitis is diagnosed?",hepatitis diagnosis
hepatitis,"for hepatitis, tips to prevent hepatitis?",hepatitis prevention
hepatitis,"for hepatitis, complications of hepatitis?",hepatitis complications
gout,what is gout? Tell me about gout? What kind of disease is gout? Can you elaborate on gout? What can you tell me about gout? Could you describe what gout is? I�d like to know more about gout. Can you help? What information do you have on gout? Could you provide information on gout?,gout definition
gout,"for gout, symptoms of gout?",gout symptoms
gout,"for gout, treatment of gout?",gout treatment
gout,"for gout, causes of gout?",gout causes
gout,"for gout, gout diagnosis?",gout diagnosis
gout,"for gout, gout prevention?",gout prevention
thrombocytopaenia,what is thrombocytopaenia? Tell me about thrombocytopaenia? What kind of disease is thrombocytopaenia? Can you elaborate on thrombocytopaenia? What can you tell me about thrombocytopaenia? Could you describe what thrombocytopaenia is? I�d like to know more about thrombocytopaenia. Can you help? What information do you have on thrombocytopaenia? Could you provide information on thrombocytopaenia?,thrombocytopaenia definition
thrombocytopaenia,"for thrombocytopaenia, what are the symptoms of isolated thrombocytopenia??",thrombocytopaenia symptoms
