disease_label,url,heading
upper respiratory infection,https://www.healthline.com/health/acute-respiratory-disease,"Acute Respiratory Infection: Causes, Symptoms, and ..."
hepatitis,https://www.healthline.com/health/hepatitis,"Hepatitis: What Is It? Types, Symptoms, Causes, and More"
gout,https://www.healthline.com/health/gout,"Gout: Symptoms, Causes, and Treatments - Healthline"
thrombocytopaenia,https://www.healthline.com/health/isolated-thrombocytopenia,"Isolated Thrombocytopenia: Causes, Symptoms, and ..."
hypoglycemia,https://www.healthline.com/health/hypoglycemia,"Hypoglycemia (Low Blood Sugar): Symptoms, Causes, and ..."
pneumonia aspiration,https://www.healthline.com/health/aspiration-pneumonia,"Aspiration Pneumonia: Symptoms, Causes, and Treatment"
colitis,https://www.healthline.com/health/ulcerative-colitis,"Ulcerative Colitis: Symptoms, Causes, Treatment, and More"
diverticulosis,https://www.healthline.com/health/diverticulitis,Diverticulitis Flare-Up: Symptoms and Risks - Healthline
suicide attempt,https://www.healthline.com/health/suicidal-ideation,"Suicidal Ideation: Symptoms, Finding Help, and More"
hepatitis B,https://www.healthline.com/health/hepatitis-b,"Hepatitis B: Risk Factors, Symptoms & Diagnosis"
parkinson disease,https://www.healthline.com/health/parkinsons,"Parkinson's Disease: Symptoms, Treatment, and More"
lymphoma,https://www.healthline.com/health/lymphoma,"Lymphoma: Causes, Symptoms, Types, Treatments, and ..."
hyperglycemia,https://www.healthline.com/health/type-2-diabetes/hyperglycemia,"Hyperglycemia (High Blood Sugar): Symptoms, Causes, More"
encephalopathy,https://www.healthline.com/health/encephalopathy,"Encephalopathy: Types, Causes, and Symptoms"
tricuspid valve insufficiency,https://www.healthline.com/health/tricuspid-regurgitation,"Heart Valve Regurgitation: Symptoms, Causes, Treatment ..."
Alzheimer's disease,https://www.healthline.com/health/alzheimers-disease,10 Signs of Early Onset Alzheimer's Disease - Healthline
candidiasis or oral candidiasis,https://www.healthline.com/health/thrush,"Oral Thrush: Symptoms, Causes, Treatments, and Prevention"
neuropathy,https://www.healthline.com/health/peripheral-neuropathy,"Peripheral Neuropathy: Symptoms, Causes, and More"
kidney disease,https://www.healthline.com/health/kidney-failure,"Kidney Failure: Causes, Types, and Symptoms"
fibroid tumor,https://www.healthline.com/health/uterine-fibroids,"Fibroids: Types, Symptoms, Causes, Pregnancy, Treatment"
glaucoma,https://www.healthline.com/health/glaucoma,"Glaucoma: Causes, Types, and Symptoms - Healthline"
neoplasm metastasis,https://www.healthline.com/health/cancer/metastatic-cancer,"Metastatic Cancer: Overview, Symptoms, and Outlook"
malignant tumor of colon or carcinoma colon,https://www.healthline.com/health/colon-cancer,"Colon Cancer: Symptoms, Stages, Outlook, and More"
ketoacidosis diabetic,https://www.healthline.com/health/type-2-diabetes/ketoacidosis,"Diabetic Ketoacidosis (DKA): Symptoms, Causes, Treatment"
tonic-clonic epilepsy or tonic-clonic seizures,https://www.healthline.com/health/epilepsy/tonic-seizures,"Tonic Seizures: Symptoms, Causes, Severity"
respiratory failure,https://www.healthline.com/health/acute-respiratory-failure,"Acute Respiratory Failure: Causes, Symptoms, and Diagnosis"
melanoma,https://www.healthline.com/health/metastatic-melanoma,"Metastatic Melanoma: Symptoms, Treatment, and Outlook"
gastroenteritis,https://www.healthline.com/health/viral-gastroenteritis,Viral Gastroenteritis (Stomach Flu): Symptoms and Treatment
malignant neoplasm of lung or carcinoma of lung,https://www.healthline.com/health/lung-cancer,"Lung Cancer: Symptoms, Causes, Types, Stages, Treatment"
manic disorder,https://www.healthline.com/health/bipolar-disorder,Bipolar Disorder (Manic Depression): Symptoms and More
personality disorder,https://www.healthline.com/health/histrionic-personality-disorder,"Histrionic Personality Disorder: Symptoms, Causes, and ..."
primary carcinoma of the liver cells,https://www.healthline.com/health/liver-cancer,"Liver Cancer: Symptoms, Types, Treatment, and Diagnosis"
emphysema pulmonary,https://www.healthline.com/health/emphysema,"Emphysema: Symptoms, Causes, and Risk Factors - Healthline"
hemorrhoids,https://www.healthline.com/health/external-hemorrhoids,"External Hemorrhoids: Causes, Symptoms, Treatment, and ..."
aphasia,https://www.healthline.com/health/aphasia,"Aphasia: Symptoms, Causes, Types, Treatment, and More"
obesity morbid,https://www.healthline.com/health/weight-loss/obesity,"Morbid Obesity: Causes, Symptoms and Complications"
pyelonephritis,https://www.healthline.com/health/pyelonephritis,"Pyelonephritis: Symptoms, Causes, Treatment, Pregnancy ..."
endocarditis,https://www.healthline.com/health/endocarditis,"Endocarditis: Risk Factors, Symptoms, and Diagnosis"
pneumothorax,https://www.healthline.com/health/collapsed-lung,"Pneumothorax (Collapsed Lung): Symptoms, Causes, and More"
delirium,https://www.healthline.com/health/delirium,Delirium vs. Dementia: Recognizing Emergency Symptoms
neutropenia,https://www.healthline.com/health/neutropenia,"Chemotherapy-Induced Neutropenia: Symptoms, Causes, ..."
hyperbilirubinemia,https://www.healthline.com/health/high-bilirubin,"High Bilirubin Levels: Symptoms, Causes, and Treatment"
influenza,https://www.healthline.com/health/influenza-a-symptoms,"Type A Influenza: Symptoms, Treatment, and Prevention"
dependence,https://www.healthline.com/health/drug-dependence,"Drug Dependence: Symptoms, Treatment, and Outlook"
thrombus,https://www.healthline.com/health/deep-venous-thrombosis,"Deep Vein Thrombosis (DVT): Symptoms, Causes, and More"
cholecystitis,https://www.healthline.com/health/chronic-cholecystitis,"Chronic Cholecystitis: Causes, Symptoms & Diagnosis"
hernia hiatal,https://www.healthline.com/health/hiatal-hernia,"Hiatal Hernia: Symptoms, Surgery, Treatment, and More"
migraine disorders,https://www.healthline.com/health/migraine,"Migraine: Symptoms, Causes, Treatment, Triggers, and More"
pancytopenia,https://www.healthline.com/health/pancytopenia,"Pancytopenia: Symptoms, Causes, and Treatment - Healthline"
cholelithiasis or biliary calculus,https://www.healthline.com/health/gallstones,"Gallstones: Symptoms, Causes, Treatment, and More"
tachycardia sinus,https://www.healthline.com/health/sinus-tachycardia,"Sinus Tachycardia: Causes, Symptoms, and Treatment"
ileus,https://www.healthline.com/health/ileus,"Ileus: Causes, Treatment, Symptoms, Diagnosis, and More"
adhesion,https://www.healthline.com/health/gallbladder-adhesions,"Gallbladder Adhesions: Symptoms, Causes, Complications"
delusion,https://www.healthline.com/health/psychosis,"Psychosis: Symptoms, Causes, and Risk Factors - Healthline"
hypertension,https://www.healthline.com/health/high-blood-pressure-hypertension,High Blood Pressure (Hypertension): Symptoms and More
coronary artery disease,https://www.healthline.com/health/coronary-artery-disease,"Coronary Artery Disease: Causes, Symptoms, and ..."
congestive heart failure,https://www.healthline.com/health/heart-failure,"Heart Failure: Symptoms, Causes, and Types - Healthline"
stroke,https://www.healthline.com/health/stroke,"Stroke: Symptoms, Causes, Treatment, Types & More"
high cholesterol,https://www.healthline.com/health/high-cholesterol,"High Cholesterol: Symptoms, Causes, Levels, and More"
infectious disease,https://www.healthline.com/health/acute-respiratory-disease,"Acute Respiratory Infection: Causes, Symptoms, and ..."
UTI,https://www.healthline.com/health/chronic-urinary-tract-infection,Chronic Urinary Tract Infection (UTI): Symptoms and Treatment
COPD,https://www.healthline.com/health/copd,COPD: Symptoms and Patient Groups
kidney failure,https://www.healthline.com/health/kidney-failure,"Kidney Failure: Causes, Types, and Symptoms"
dementia,https://www.healthline.com/health/dementia,"What Is Dementia: Symptoms, Types, Diagnosis, and More"
osteoarthritis,https://www.healthline.com/health/arthritis,"Arthritis: What it is, Symptoms, Causes, and More"
anxiety disorder,https://www.healthline.com/health/anxiety,"Anxiety Disorders: Causes, Types, Symptoms, & Treatments"
cancer,https://www.healthline.com/health/gastric-cancer,"Stomach Cancer: Causes, Symptoms, Risks, Treatment ..."
HIV infection,https://www.healthline.com/health/hiv-aids,"HIV and AIDS: Symptoms, Causes, Treatments, and More"
sepsis,https://www.healthline.com/health/sepsis,"Sepsis: Symptoms, Causes, Treatment, Risks, and More"
rash,https://www.healthline.com/health/rashes-with-viruses,"Viral Rash: Types, Symptoms, and Treatment in Adults and ..."
acute kidney injury,https://www.healthline.com/health/acute-kidney-failure,"Acute Kidney Failure: Causes, Risk Factors, and Symptoms"
mitral valve prolapse,https://www.healthline.com/health/mitral-valve-prolapse,"Mitral Valve Prolapse (MVP): Symptoms, Treatments, and More"
partial paralysis,https://www.healthline.com/health/paresis,"Paresis: Types, Causes, Symptoms, and Treatment - Healthline"
paranoid personality disorder,https://www.healthline.com/health/paranoia,"Paranoia: Symptoms, Causes, and Treatment"
paroxysmal nocturnal dyspnea,https://www.healthline.com/health/paroxysmal-nocturnal-dyspnea,"Paroxysmal nocturnal dyspnea: Definition, symptoms, and ..."
pulmonary edema,https://www.healthline.com/health/pulmonary-edema,"Pulmonary Edema: Symptoms, Causes, and Treatment"
lymphedema,https://www.healthline.com/health/lymphangitis,"Lymphangitis: Causes, Symptoms, and Diagnosis"
aortic valve stenosis,https://www.healthline.com/health/aortic-stenosis,"Aortic Valve Stenosis: Causes, Symptoms, and Diagnosis"
schizophrenia spectrum disorder,https://www.healthline.com/health/schizophrenia,"Schizophrenia: Symptoms, Causes, Treatment, and Prognosis"
fluid overload,https://www.healthline.com/health/hypervolemia,"Hypervolemia (Fluid Overload): Symptoms, Causes, Treatment"
peptic ulcer,https://www.healthline.com/health/types-of-ulcers,Types of Ulcers: Symptoms and Treatment
kidney failure,https://www.healthline.com/health/kidney-failure,"Kidney Failure: Causes, Types, and Symptoms"
heart failure,https://www.healthline.com/health/heart-failure,"Heart Failure: Symptoms, Causes, and Types - Healthline"
pulmonary hypertension,https://www.healthline.com/health/cor-pulmonale,"Cor Pulmonale: Causes, Symptoms, and Diagnosis"
dysphagia,https://www.healthline.com/health/difficulty-in-swallowing,"Difficulty Swallowing (Dysphagia): Causes, Types & Symptoms"
Pneumocystis pneumonia,https://www.healthline.com/health/pneumonia/pneumocystis-pneumonia,"Pneumocystis Pneumonia: Causes, Symptoms, Treatment, More"
pericardial effusion,https://www.healthline.com/health/fluid-around-heart,"Fluid Around Heart: Causes, Symptoms, and Treatment"
alcohol use disorder,https://www.healthline.com/health/alcoholism/basics,"Alcoholism: Causes, Risk Factors, and Symptoms - Healthline"
bronchospasm,https://www.healthline.com/health/bronchospasm,"Bronchospasm: Causes, Symptoms, and Treatments - Healthline"
emotional lability,https://www.healthline.com/health/emotional-lability,"Emotional Lability: Symptoms, Stroke, Other Causes, and ..."
bedsore,https://www.healthline.com/health/pressure-ulcer,Bedsores: What You Should Know About Decubitus Ulcers
