disease,label,answer
depression mental or depressive disorder,depression mental or depressive disorder causes,"The exact cause of MDD isn�t known. However, several factors can increase
your risk of developing the condition.
A combination
of genes and stress can affect brain chemistry and lower your ability to maintain mood stability.
Changes in the balance of hormones might also contribute to the development of MDD.
MDD may also be triggered by:
alcohol
or drug use
certain medical conditions, such as cancer or hypothyroidism
particular types of medications, including steroids
abuse during childhood"
coronary arteriosclerosis or coronary heart disease,coronary arteriosclerosis or coronary heart disease definition,"Coronary artery disease is the most common form of heart disease. It happens when something, like plaque buildup, reduces blood flow to the heart. It can increase your risk of heart attack.
Coronary artery disease (CAD) causes impaired blood flow in the arteries that supply blood to the heart. Also called coronary heart disease (CHD), CAD is the most common form of heart disease and affects approximately 16.5 million
Americans over the age of 20.
It�s also the leading ca
use of death
for both men and women in the United States. It�s estimated that every 36 seconds
, someone in the United States has a heart attack.
A heart attack can come from uncontrolled CAD."
coronary arteriosclerosis or coronary heart disease,coronary arteriosclerosis or coronary heart disease symptoms,"When your heart doesn�t get enough arterial blood, you may experience a variety of symptoms. Angina (chest discomfort) is the most common symptom of CAD. Some people describe this discomfort as:
chest pain
heaviness
tightness
burning
squeezing
These symptoms can also be mistaken for heartburn or indigestion.
Other symptoms of CAD include:
pain in the arms or shoulders
shortness of breath
sweating
dizziness
You may experience more symptoms when your blood flow is more restricted. If a blockage cuts off blood flow completely or almost completely, your heart muscle will start to die if not restored. This is a heart attack.
Don�t ignore any of these symptoms, especially if they are excruciating or last longer than five minutes. Immediate medical treatment is necessary.
Symptoms of CAD for women
Women may also experience the above symptoms, but they�re also more likely to have:
nausea
vomiting
back pain
jaw pain
shortness of breath without feeling chest pain
Men have a higher risk
of developing heart disease than women, however.
Due to decreased blood flow, your heart may also:
become weak
develop abnormal heart rhythms (arrhythmia) or rates
fail to pump as much blood as your body needs
Your doctor will detect these heart abnormalities during diagnosis."
coronary arteriosclerosis or coronary heart disease,coronary arteriosclerosis or coronary heart disease causes,"The most common cause of CAD is a vascular injury with cholesterol plaque buildup in the arteries, known as atherosclerosis. Reduced blood flow occurs when one or more of these arteries becomes partially or completely blocked.
Other rare causes of damage or blockage to a coronary artery also limit blood flow to the heart."
coronary arteriosclerosis or coronary heart disease,coronary arteriosclerosis or coronary heart disease risks,"Understanding the risk factors for CAD can help with your plan to prevent or decrease the likelihood of developing the disease.
Risk factors include:
high blood pressure
high blood cholesterol levels
tobacco smoking
insulin resistance/hyperglycemia/diabetes mellitus
obesity
inactivity
unhealthy eating habits
obstructive sleep apnea
emotional stress
excessive alcohol consumption
history of preeclampsia during pregnancy
The risk for CAD also increases with age. Based on age alone as a risk factor, men have a greater risk for the disease beginning at age 45 and women have a greater risk beginning at age 55. The risk for coronary artery disease is also higher if you have a family history of the disease."
coronary arteriosclerosis or coronary heart disease,coronary arteriosclerosis or coronary heart disease diagnosis,"Diagnosing CAD requires a review of your medical history, a physical examination, and other medical testing. These tests include:
Electrocardiogram: This test monitors electrical signals that travel through your heart. It may help your doctor determine whether you�ve had a heart attack.
Echocardiogram: This imaging test uses ultrasound waves to create a picture of your heart. The results of this test reveal whether certain things in your heart are functioning properly.
Stress test: This particular test measures the stress on your heart during physical activity and while at rest. The test monitors your heart�s electrical activity while you walk on a treadmill or ride a stationary bike. Nuclear imaging or echocardiographic imaging may also be performed for a portion of this test. For those unable to perform physical exercise, certain medications can be used instead for stress testing.
Cardiac catheterization (left heart catheterization): During this procedure, your doctor injects a special dye into your coronary arteries through a catheter inserted through an artery in your groin or wrist. The dye helps enhance the radiographic image of your coronary arteries to identify any blockages.
Heart CT scan: Your doctor may use this imaging test to check for calcium deposits in your arteries."
coronary arteriosclerosis or coronary heart disease,coronary arteriosclerosis or coronary heart disease treatment,"It�s important to reduce or control your risk factors and seek treatment to lower the chance of a heart attack or stroke if you�re diagnosed with CAD.
Treatment also depends on your current health condition, risk factors, and overall wellbeing. For example, your doctor may prescribe medication therapy to treat high cholesterol or high blood pressure, or you may receive medication to control blood sugar if you have diabetes.
Medications are the most common treatment for CAD. Learn more here.
Lifestyle changes can also reduce your risk of heart disease and stroke. For example:
quit smoking tobacco
reduce or stop your consumption of alcohol
exercise regularly
lose weight to a healthy level
eat a healthy diet (low in saturated fat, sodium, and added sugar)
If your condition doesn�t improve with lifestyle changes and medication, your doctor may recommend a procedure to increase blood flow to your heart. These procedures may be:
balloon angioplasty: to widen blocked arteries and smoosh down the plaque buildup, usually performed with insertion of a stent to help keep the lumen open after the procedure
coronary artery bypass graft surgery: to restore blood flow to the heart in open chest surgery
enhanced external counterpulsation: to stimulate the formation of new small blood vessels to naturally bypass clogged arteries in a noninvasive procedure"
pneumonia,pneumonia definition,"Pneumonia is an infection caused by bacteria, viruses, or fungi. It leads to inflammation in the air sacs of one or both lungs. These sacs, called alveoli, fill with fluid or pus, making it difficult to breathe.
Both viral and bacterial pneumonia is contagious. This means they can spread from person to person through inhalation of airborne droplets from a sneeze or cough.
You can also get these types of pneumonia by coming into contact with surfaces or objects that are contaminated with pneumonia-causing bacteria or viruses.
You can contract fungal pneumonia from the environment. It does not spread from person to person.
Pneumonia is further classified according to where or how it was acquired:
Walking pneumonia is a milder case of pneumonia. People with walking pneumonia may not even know they have pneumonia. Their symptoms may feel more like a mild respiratory infection than pneumonia. However, walking pneumonia may require a longer recovery period.
The symptoms of walking pneumonia can include things like:
Viruses and bacteria, like Streptococcus pneumoniae or Haemophilus influenzae, often cause pneumonia. However, in walking pneumonia, the bacteria Mycoplasma pneumoniae most commonly causes the condition.
Pneumonia may be classified based off the area of the lungs it�s affecting:
Bronchopneumonia can affect areas throughout both of your lungs. It�s often localized close to or around your bronchi. These are the tubes that lead from your windpipe to your lungs.
Lobar pneumonia affects one or more lobes of your lungs. Each lung is made of lobes, which are defined sections of the lung.
Lobar pneumonia can be further divided into four stages based off how it�s progressed:"
pneumonia,pneumonia symptoms,"Pneumonia symptoms can be mild to life threatening. They can include:
coughing that may produce phlegm (mucus)
fever
sweating or chills
shortness of breath that happens while doing normal activities, or even while resting
chest pain that�s worse when you breathe or cough
feelings of tiredness or fatigue
loss of appetite
nausea or vomiting
headaches
Other symptoms can vary according to your age and general health:
Infants may appear to have no symptoms, but sometimes they may vomit, lack energy, or have trouble drinking or eating.
Children under 5 years old may have fast breathing or wheezing.
Older adults may have milder symptoms. They can also experience confusion or a lower-than-normal body temperature."
pneumonia,pneumonia causes,"Pneumonia happens when germs get into your lungs and cause an infection. The immune system�s reaction to clear the infection results in inflammation of the lung�s air sacs (alveoli). This inflammation can eventually cause the air sacs to fill up with pus and liquids, causing pneumonia symptoms.
Several types of infectious agents can cause pneumonia, including bacteria, viruses, and fungi.
Bacterial pneumonia
The most common cause of bacterial pneumonia is Streptococcus pneumoniae. Other causes include:
Mycoplasma pneumoniae
Haemophilus influenzae
Legionella pneumophila
Viral pneumonia
Respiratory viruses are often the cause of pneumonia. Examples of viral infections that can cause pneumonia include:
influenza (flu)
respiratory syncytial virus (RSV)
rhinoviruses (common cold)
human parainfluenza virus (HPIV) infection
human metapneumovirus (HMPV) infection
measles
chickenpox (varicella-zoster virus)
adenovirus infection
coronavirus infection
SARS-CoV-2 infection (the virus that causes COVID-19)
Although the symptoms of viral and bacterial pneumonia are very similar, viral pneumonia is usually milder. It can improve in 1 to 3 weeks without treatment.
According to the National Heart, Lung, and Blood Institute
, people with viral pneumonia are at risk of developing bacterial pneumonia.
Fungal pneumonia
Fungi from soil or bird droppings can cause pneumonia. They most often cause pneumonia in people with weakened immune systems. Examples of fungi that can cause pneumonia include:
Pneumocystis jirovecii
Cryptococcus species
Histoplasmosis species
Risk factors
Anyone can get pneumonia, but certain groups do have a higher risk. These groups include:
infants from birth to 2 years old
people ages 65 and older
people with weakened immune systems due to:
pregnancy
HIV
the use of certain medications, such as steroids or certain cancer drugs
people with certain chronic medical conditions, such as:
asthma
cystic fibrosis
diabetes
COPD
heart failure
sickle cell disease
liver disease
kidney disease
people who�ve been recently or are currently hospitalized, particularly if they were or are on a ventilator
people who�ve had a brain disorder, which can affect the ability to swallow or cough, such as:
stroke
head injury
dementia
Parkinson�s disease
people who�ve been regularly exposed to lung irritants, such as air pollution and toxic fumes, especially on the job
people who live in a crowded living environment, such as a prison or nursing home
people who smoke, which makes it more difficult for the body to get rid of mucus in the airways
people who use drugs or drink heavy amounts of alcohol, which weakens the immune system and increases the odds of inhaling saliva or vomit into the lungs due to sedation"
pneumonia,pneumonia diagnosis,"Your doctor will start by taking your medical history. They�ll ask you questions about when your symptoms first appeared and your health in general.
They�ll then give you a physical exam. This will include listening to your lungs with a stethoscope for any abnormal sounds, such as crackling.
Depending on the severity of your symptoms and your risk of complications, your doctor may also order one or more of these tests:
Chest X-ray
An X-ray helps your doctor look for signs of inflammation in your chest. If inflammation is present, the X-ray can also inform your doctor about its location and extent.
Blood culture
This test uses a blood sample to confirm an infection. Culturing can also help identify what may be causing your condition.
Sputum culture
During a sputum culture, a sample of mucus is collected after you�ve coughed deeply. It�s then sent to a lab to be analyzed to identify the cause of the infection.
Pulse oximetry
A pulse oximetry measures the amount of oxygen in your blood. A sensor placed on one of your fingers can indicate whether your lungs are moving enough oxygen through your bloodstream.
CT scan
CT scans provide a clearer and more detailed picture of your lungs.
Fluid sample
If your doctor suspects there�s fluid in the pleural space of your chest, they may take a fluid sample using a needle placed between your ribs. This test can help identify the cause of your infection.
Bronchoscopy
A bronchoscopy looks into the airways in your lungs. It does this using a camera on the end of a flexible tube that�s gently guided down your throat and into your lungs.
Your doctor may do this test if your initial symptoms are severe, or if you�re hospitalized and not responding well to antibiotics.
If you need help finding a primary care doctor, then check out our FindCare tool here."
pneumonia,pneumonia treatment,"Your treatment will depend on the type of pneumonia you have, how severe it is, and your general health.
Prescription medications
Your doctor may prescribe a medication to help treat your pneumonia. What you�re prescribed will depend on the specific cause of your pneumonia.
Oral antibiotics can treat most cases of bacterial pneumonia. Always take your entire course of antibiotics, even if you begin to feel better. Not doing so can prevent the infection from clearing, and it may be harder to treat in the future.
Antibiotic medications don�t work on viruses. In some cases, your doctor may prescribe an antiviral. However, many cases of viral pneumonia clear on their own with at-home care.
Antifungal medications are used to treat fungal pneumonia. You may have to take this medication for several weeks to clear the infection.
OTC medications
Your doctor may also recommend over-the-counter (OTC) medications to relieve your pain and fever, as needed. These may include:
aspirin
ibuprofen (Advil, Motrin)
acetaminophen (Tylenol)
Your doctor may also recommend cough medicine to calm your cough so you can rest. Keep in mind coughing helps remove fluid from your lungs, so you don�t want to eliminate it entirely.
Home remedies
Although home remedies don�t actually treat pneumonia, there are some things you can do to help ease symptoms.
Coughing is one of the most common symptoms of pneumonia. Natural ways to relieve a cough include gargling salt water or drinking peppermint tea.
Cool compresses can work to relieve a fever. Drinking warm water or having a nice warm bowl of soup can help with chills. Here are more home remedies to try.
You can help your recovery and prevent a recurrence by getting a lot of rest and drinking plenty of fluids.
Although home remedies can help ease symptoms, it�s important to stick to your treatment plan. Take any prescribed medications as directed.
Hospitalization
If your symptoms are very severe or you have other health problems, you may need to be hospitalized. At the hospital, doctors can keep track of your heart rate, temperature, and breathing. Hospital treatment may include:
antibiotics injected into a vein
respiratory therapy, which involves delivering specific medications directly into the lungs, or teaching you to perform breathing exercises to maximize your oxygenation
oxygen therapy to maintain oxygen levels in your bloodstream (received through a nasal tube, face mask, or ventilator, depending on severity)"
pneumonia,pneumonia complications,"Pneumonia may cause complications, especially in people with weakened immune systems or chronic conditions, such as diabetes.
Complications may include:
Worsened chronic conditions. If you have certain preexisting health conditions, pneumonia could make them worse. These conditions include congestive heart failure and emphysema. For certain people, pneumonia increases their risk of having a heart attack.
Bacteremia. Bacteria from the pneumonia infection may spread to your bloodstream. This can lead to dangerously low blood pressure, septic shock, and, in some cases, organ failure.
Lung abscesses. These are cavities in the lungs that contain pus. Antibiotics can treat them. Sometimes they may require drainage or surgery to remove the pus.
Impaired breathing. You may have trouble getting enough oxygen when you breathe. You may need to use a ventilator.
Acute respiratory distress syndrome. This is a severe form of respiratory failure. It�s a medical emergency.
Pleural effusion. If your pneumonia isn�t treated, you may develop fluid around your lungs in your pleura, called pleural effusion. The pleura are thin membranes that line the outside of your lungs and the inside of your rib cage. The fluid may become infected and need to be drained.
Kidney, heart, and liver damage. These organs may be damaged if they don�t receive enough oxygen, or if there�s an overreaction of the immune system to the infection.
Death. In some cases, pneumonia can be fatal. According to the CDC, nearly 44,000 people
in the United States died from pneumonia in 2019."
pneumonia,pneumonia prevention,"In many cases, pneumonia can be prevented.
Vaccination
The first line of defense against pneumonia is to get vaccinated. There are several vaccines that can help prevent pneumonia.
Prevnar 13 and Pneumovax 23
These two pneumonia vaccines help protect against pneumonia and meningitis caused by pneumococcal bacteria. Your doctor can tell you which one might be better for you.
Prevnar 13 is effective against 13 types of pneumococcal bacteria. The CDC
recommends this vaccine for:
children under age 2
people between ages 2 and 64 with chronic conditions that increase their risk of pneumonia
adults ages 65 and older, on the recommendation of their doctor
Pneumovax 23 is effective against 23 types of pneumococcal bacteria. The CDC
recommends it for:
adults ages 65 and older
adults ages 19 to 64 who smoke
people between ages 2 and 64 with chronic conditions that increase their risk of pneumonia
Flu vaccine
Pneumonia can often be a complication of the flu, so be sure to also get an annual flu shot. The CDC
recommends that everyone ages 6 months and older get vaccinated, particularly those who may be at risk of flu complications.
Hib vaccine
This vaccine protects against Haemophilus influenzae type b (Hib), a type of bacterium that can cause pneumonia and meningitis. The CDC
recommends this vaccine for:
all children under 5 years old
unvaccinated older children or adults who have certain health conditions
people who�ve gotten a bone marrow transplant
According to the National Heart, Lung, and Blood Institute
, pneumonia vaccines won�t prevent all cases of the condition.
But if you�re vaccinated, you�re likely to have a milder and shorter illness as well as a lower risk of complications.
Other prevention tips
In addition to vaccination, there are other things you can do to avoid pneumonia:
If you smoke, try to quit. Smoking makes you more susceptible to respiratory infections, especially pneumonia.
Regularly wash your hands with soap and water for at least 20 seconds.
Cover your coughs and sneezes. Promptly dispose used tissues.
Maintain a healthy lifestyle to strengthen your immune system. Get enough rest, eat a balanced diet, and get regular exercise.
Together with vaccination and additional prevention steps, you can help reduce your risk of getting pneumonia. Here are even more prevention tips."
asthma,asthma definition,"Asthma occurs because of inflammation and mucus in the lining of the airways. During an attack, this commonly causes a wheezing or whistling sound when you breathe but can cause other symptoms."
asthma,asthma symptoms,"The most common symptom of asthma is wheezing. This is a squealing or whistling sound that occurs when you breathe.
Other asthma symptoms may include:
coughing, especially at night, when laughing, or during exercise
tightness in the chest
shortness of breath
difficulty talking
anxiousness or panic
fatigue
chest pain
rapid breathing
frequent infections
trouble sleeping
The type of asthma that you have can determine which symptoms you experience.
Some people experience symptoms consistently throughout the day. Others may find that certain activities can make symptoms worse.
Not everyone with asthma will experience these particular symptoms. If you think the symptoms you�re experiencing could be a sign of a condition such as asthma, make an appointment to see your doctor.
Also, keep in mind that even if your asthma is well-managed, you may still occasionally experience a flare-up of symptoms. Flare-ups often improve with the use of quick-acting treatments, like an inhaler, but may require medical attention in severe cases.
Signs of an asthma flare-up may include:
coughing
wheezing
throat clearing
difficulty sleeping
chest pain or tightness
fatigue
If your symptoms worsen or don�t improve with the use of an inhaler, you should seek immediate medical treatment.
You should also seek treatment if you experience symptoms of an asthma emergency, including:
severe breathing difficulty
gasping for air
confusion
pale lips or fingernails
dizziness
difficulty walking or talking
blue lips or fingernails
Call 911
If you or someone around you experiences symptoms of an asthma emergency, call 911 or your local emergency number, or go to the nearest emergency department.
Was this helpful?"
asthma,asthma causes,"Although asthma is especially common in children, many people don�t develop asthma until they are adults.
No single cause has been identified
for asthma. Instead, researchers believe it�s caused by a variety of factors. These factors include:
Genetics. If a parent or sibling has asthma, you�re more likely to develop it.
History of viral infections. People with a history of severe viral infections during childhood, such as respiratory syncytial virus infection (RSV), may be more likely to develop the condition.
Hygiene hypothesis. This theory explains that when babies aren�t exposed to enough bacteria in their early months and years, their immune systems don�t become strong enough to fight off asthma and other allergic conditions.
Many factors can also trigger asthma and cause symptoms to worsen. Triggers for asthma can vary and some people may be more sensitive to certain triggers than others.
The most common triggers include:
health conditions, such as respiratory infections
exercise
environmental irritants
allergens
intense emotions
extreme weather conditions
pests
certain medications, including aspirin or nonsteroidal anti-inflammatory drugs (NSAIDs)"
